class_name,sentence
Performance,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.
Performance,System shall let the administrator add/remove categories on the website in under 5 minutes.
Performance,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.
Performance,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.
Performance,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.
Performance,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.
Performance,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)
Performance,While streaming a movie  buffering should only occur if there is latency in the user's connection.
Performance,Izogn Administrator must be able to update the category listings on the website within 2 minutes.
Performance,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.
Performance,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.
Performance,For leads that process longer than 25 seconds the system will record the event and duration
Performance,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.
Performance,The product shall able to handle a large number of games simultaneously.
Performance,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.
Performance,90% of tasks shall complete within 5 seconds.
Performance,98% of tasks shall complete within 8 seconds.
Performance,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.
Performance,Aside from server failure  the software product shall achieve 99.99% up time.
Performance,For 10% of the time  the response time should not be more than 10 seconds.
Performance,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.
Performance,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.
Performance,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.
Performance,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.
Performance,system shall be able to handle all of the user requests or usage during business hours.
Performance,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.
Performance,The audit report shall be returned within 10 seconds.
Performance,The average number of recycled parts records per day shall be 50 000.
Performance,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.
Performance,The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
Performance,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.
Performance,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.
Performance,The peak CPU utilization shall never exceed 70% of CPU capacity at any given time.
Performance,The preferred repair facility is returned within 8 seconds
Performance,The preferred repair facility ratings shall be saved within 5 seconds.
Performance,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.
Performance,The product interface should be fast.
Performance,The product shall able to handle a large number of games simultaneously.
Performance,The product shall be able support 1000 simultaneous users.
Performance,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
Performance,The product shall be able to handle up to 1500 simultaneous users.
Performance,The product shall be able to process 10 000 transactions per hour within two years of its launch.
Performance,The product shall be able to support multiple remote users
Performance,The product shall be capable of handling the existing 1000 users.
Performance,The product shall be capable of handling up to 1 000 concurrent requests.
Performance,The product shall be expected to operate for at least 5 years for each customer installation.
Performance,The product shall generate a CMA report in an acceptable time.
Performance,The product shall have a maximum message processing time of 2 seconds
Performance,The product shall process messages within 2 seconds.
Performance,The product shall process minimum of 1 million transactions per year.
Performance,The product shall provide Multi-threading and Load Balancing.
Performance,The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.
Performance,The product shall respond fast to keep up-to-date data in the display.
Performance,The product shall synchronize contacts and appointments in an acceptable time.
Performance,The recycled parts audit report shall be returned to the user within 10 seconds.
Performance,The response time for the most common requests to reach a user shall not exceed 3 seconds.
Performance,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.
Performance,The response time of the product interface should not exceed 2 seconds 90% of the time.
Performance,The response time shall be fast enough to maintain the flow of the game.
Performance,The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.
Performance,The save shall occur within 5 seconds.
Performance,The search for recycled parts shall take no longer than 15 seconds.
Performance,The search for the preferred repair facility shall take no longer than 8 seconds.
Performance,The search results shall be returned in under 15 seconds.
Performance,The search results shall be returned no later 30      seconds  after the user has entered the search criteria
Performance,The server will support a maximum of 1 000 simultaneous users.
Performance,"The solution shall complete an average of 99% of all online update transactions in under 5 seconds over any 60-minute period, during peak usage."
Performance,The solution shall track system uptime and transaction response times in order to demonstrate operation within acceptable levels.
Performance,The System shall allow for a minimum of  6 users to work at the same time.
Performance,The system shall be able to handle an average transaction load with an average CPU utilization of no more than 35%-40% of the CPU capacity.
Performance,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.
Performance,The system shall be expected to manage the nursing program curriculum and class or clinical scheduling for a minimum of 5 years.
Performance,The system shall be scalable and adaptable to meet future growth and expansion needs.
Performance,The system shall cater to 10 simultaneous users from 9am to 5pm.
Performance,The system shall have a response time where the average transaction on the server needs to occur on average less than 1 second.
Performance,"The system shall include documentation of product capacities (e.g. number of users, number of transactions per second, number of records, network load, etc.) and the baseline representative configurations assumed for these capacities (e.g. number or type of processors, server or workstation configuration and network capacity, etc)."
Performance,The system shall perform with 1500 users as a time.
Performance,The system shall refresh the display every 60 seconds.
Performance,The system will need the support capability of up to and beyond 5000 default schedules.
Performance,"The system, including programs, database, and ancillary hardware and related software systems shall be able to retain its performance levels when adding additional users, functions, and data."
Performance,The website shall be capable of supporting 100 000 customers.
Performance,There is no limitation to the number of accepted formats.
Performance,This number is expected to grow 5 times within the next year
Performance,This number will increase to 2 000 by Release 2.
Performance,This number will increase to 20 000 by Release 2.
Performance,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.
Performance,The response time shall be fast enough to maintain the flow of the game.
Usability,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30.
Usability,The system shall be used by realtors with no training
Usability,The system shall be intuitive and self explanatory.
Usability,The product shall be easy for a realtor to learn.
Usability,The product shall use symbols and words that are naturally understandable by the realtor community.
Usability,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.
Usability,90% of untrained realtors shall be able to install the product on their device without printed instructions
Usability,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.
Usability,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.
Usability,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.
Usability,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.
Usability,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.
Usability,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
Usability,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.
Usability,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training
Usability,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.
Usability,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
Usability,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
Usability,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.
Usability,The product shall allow the user to select a chosen language from one of the target market countries.
Usability,The product shall allow for customization of start page and views preferences.
Usability,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.
Usability,The product shall use a standard navigation menu familiar to most web users.
Usability,The product shall allow for intuitive searching of available conference rooms.
Usability,The product shall conform to the Americans with Disabilities Act.
Usability,The product should be able to be used by 90% of novice users on the Internet.
Usability,Users should only have to navigate through a maximum of 4 pages  to create an account with the website.
Usability,Users should be able to access their streaming movies in under 2 clicks after logging into the website.
Usability,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.
Usability,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.
Usability,The product shall retain the customer's buying preferences and information.
Usability,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes
Usability,The product shall use symbols and words that are naturally understandable by users familiar with websites
Usability,The website will use standard Internet conventions when interacting with the user.
Usability,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.
Usability,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.
Usability,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100.
Usability,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.
Usability,The system shall be easy to use by the Program Administrators/Nursing Staff Members.
Usability,All of the users shall be able to use the system after one day of training.
Usability,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.
Usability,The number of mistakes noted by the students shall be decreased by 50% in the first year.
Usability,The system shall be intuitive to the Program Administrators/ Nursing Staff Members.
Usability,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.
Usability,The system shall use symbols and words that are naturally understandable by the user community.
Usability,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.
Usability,Every registered user will have access to the product's support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.
Usability,The product shall be translated into foreign languages other than the target market countries' languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market's language.
Usability,The product shall be able to display calendar dates and times according to the user's locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
Usability,The website will provide a help section with answers and solutions to common problems.
Usability,"(iii) The covered entity informs the individual that it is terminating its agreement to a restriction, except that such termination is only effective with respect to protected health information created or received after it has so informed the individual."
Usability,100% of all selection and navigation functionality must be able to be activated or selected by either a mouse or a keyboard
Usability,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.
Usability,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.
Usability,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.
Usability,2 out of 3 Program Administrators or Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.
Usability,70% of registered users shall find a solution to their problem within 5 minutes of using the support site
Usability,80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
Usability,80% of the users surveyed report that the product accurately confirms their actions.
Usability,80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
Usability,85% of all users will be satisfied with the product.
Usability,90% of new users are able to log into the system within 10 minutes.
Usability,90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.
Usability,90% of untrained realtors shall be able to install the product on their device without printed instructions
Usability,90% of users should be able to successfully use the system to generate a report on their first use.
Usability,90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
Usability,95% of Adjusters and Collision Estimators shall find the product easy to use.
Usability,A new user must be able to be added to the system within 10 minutes.
Usability,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.
Usability,A user shall be able to use the system without instruction after a short amount of time.
Usability,After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.
Usability,After one use a user should understand and remember 90% of the system usage and navigation.
Usability,All CCR users shall receive training before the WCS system is deployed.
Usability,All interfaces and reports will undergo usability tests by CCR users.
Usability,All of the users shall be able to use the system after one day of training.
Usability,An employee will be able to successfully use the product within a few minutes.
Usability,Callers and supervisors must be able to accomplish any system task within 2 minutes.
Usability,Callers and supervisors shall learn how to use the system within 10 minutes.
Usability,Every registered user will have access to the product's support site via the Internet.
Usability,If projected  the data must be readable.
Usability,If projected  the data must be understandable.
Usability,Integration of new maps with the product shall be possible with little to no support from product support staff.
Usability,Intelligent spell checking of text fields
Usability,Nine out ten users shall be able to successfully complete a game with no training.
Usability,NOTE: Clicking the calendar button next to the 'DOB' field will pop up an easy to use date selection tool found throughout the OpenEMR program.
Usability,Notice that the 'Add New Issue' dialog also uses the OpenEMR date selection tool described earlier.
Usability,Notice that the source and pay date from the previous window have been copied over; this saves time in the common case where a single check from the insurance company pays for multiple claims.
Usability,On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
Usability,On a 10x10 projection screen  90% of viewers must be able to read Event  or  Activity data from a viewing distance of 30
Usability,One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)
Usability,"On-line, interactive help with support for hyperlink technology and industry standard formats (e.g., HTML file formats)"
Usability,Reports must be generated within one button click and exported within one button click (after selecting the report)
Usability,Rreports must be easy to generate.
Usability,Staff members shall be able to complete a set of tasks in a timely manner.
Usability,The application shall ask the user to confirm dropping a player or trading a player before performing the action.
Usability,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle.
Usability,"The data elements required to complete a job function, whether to inquire or read only or data entry must be readily available."
Usability,The enterer or editor is presented with a success or failure message and the form is updated so that the enterer or editor may correct the form or add more information.
Usability,The form validation of the system shall show the errors of all the fields in a form at the same time.
Usability,The interface shall be easy to use.
Usability,The interface should adhere to IBM usability standards.
Usability,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.
Usability,The number of mistakes noted by the students shall be decreased by 50% in the first year.
Usability,The product shall allow for intuitive searching of available conference rooms.
Usability,The product shall be easy for a realtor to learn.
Usability,The product shall be easy for System Administrators and DBAs to use after two weeks of usage.
Usability,The product shall be easy to learn by Adjusters and Collision Estimators.
Usability,The product shall be easy to use by Adjusters and Collision Estimators.
Usability,The product shall be easy to use
Usability,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.
Usability,The product shall be intuitive and self-explanatory.
Usability,The product shall be intuitive and self-explanatory.
Usability,The product shall be learned with two days onsite training
Usability,The product shall give users feedback when necessary.
Usability,The product shall have an intuitive user interface.
Usability,The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.
Usability,The product shall increase productivity of Collision Estimators.
Usability,The product shall make the users want to use it.
Usability,The product shall use a standard navigation menu familiar to most web users.
Usability,The product should be able to be used by 90% of novice users on the Internet.
Usability,"The Proposer shall allow for field level edit checks for transactions during data entry and provide immediate user feedback, including error messages and possible corrective actions"
Usability,The response shall be fast enough to avoid interrupting the user's flow of thought.
Usability,The system has capability to have voice recognition.
Usability,The system has capability to use visual cues to highlight abnormal results.
Usability,The system has the ability to display critical relevant data when creating orders.
Usability,The system has the capability to alert the user of lookalike and sound alike drugs.
Usability,The system has the capability to detect duplicate orders issuing visual and auditory warnings.
Usability,The system has the capability to use rules associated with required prompts that can either be used as warning to the usre or prevent moving to a next step until a specific action has been taken.
Usability,The system must use a point and click interface.
Usability,The system shall allow for the option of auto-fill capability per transaction or field entry throughout all modules
Usability,The system shall allow for user-friendly end-user report creation without requiring technical staff or expertise to create and publish reports within the modules
Usability,The system shall be easy to learn by callers and supervisors.
Usability,The system shall be easy to use by callers and supervisors.
Usability,The system shall be easy to use by the Program Administrators or Nursing Staff Members.
Usability,The system shall be intuitive and self explanatory.
Usability,The system shall be intuitive to the Program Administrators or Nursing Staff Members.
Usability,The system shall be used by realtors with no training.
Usability,The system shall display patient annotations in a manner which distinguishes them from other content in the system.
Usability,"The system shall have a customizable online documentation and training materials such as context-specific help, search capability, organization-specific business process documentation and process maps."
Usability,The system shall have the ability to design a preferred sequence to make data-entry columns and fields match the order of information in organization source documents.
Usability,"The system shall have the ability to restrict free form entry (e.g., provide drop down calendar for date field)"
Usability,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.
Usability,"The system shall include documentation that explains system error or performance messages to users and administrators, with the actions required."
Usability,"The system shall present data to users such that a minimum of navigational effort is required, including:"
Usability,The system shall provide templates for inputting data in a structured format as part of clinical documentation.
Usability,"The system shall provide the ability to document encounters by one or more of the following means: direct keyboard entry of text; structured data entry utilizing templates, forms, pick lists or macro substitution; dictation with subsequent transcription of voice to text, either manually or via voice recognition system."
Usability,The system shall use symbols and words that are naturally understandable by the user community.
Usability,"The system supports grouping like problems into disease categories (e.g., cerebrovascular disease, congenital heart disease, heart failure, hypertensive heart disease, ischemic heart disease, etc.) and enable one-click search when adding a problem to the list."
Usability,The user interface shall integrate information from multiple components into a unified display by business area or work type.
Usability,The user shall easily locate instructions while using the product.
Usability,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion.
Usability,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.
Usability,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization.
Usability,The website will use standard Internet conventions when interacting with the user.
Usability,User help can be found within 90% of the system.
Usability,Users shall feel satisfied using the product.
Usability,With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.
Security,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts.
Security,Only registered realtors shall be able to access the system.
Security,Every user of the system shall be authenticated and authorized.
Security,The product shall prevent its data from incorrect data being introduced
Security,Only authorized users shall have access to clinical site information.
Security,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.
Security,Only authorized users shall have access to students' personal information.
Security,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.
Security,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.
Security,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.
Security,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.
Security,The system shall protect private information in accordance with the organization's information policy.
Security,The system shall be built such that it is as secure as possible from malicious interference.
Security,The system shall use the organization's standard virus protection software to help monitor threats to itself.
Security,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.
Security,Only users with Update access must be able to initiate dispute requests.
Security,The Disputes application shall ensure that only authorized users are allowed to logon to the application.
Security,All authorized users  once authenticated must be able to logon to the Disputes System
Security,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level.  The report will be reviewed for auditing purposes.
Security,All additions of new users and modifications to user's access shall be recorded on the User Report.
Security,If a user account is revoked  it can only be re-instantiated by the System Administrator.
Security,Only the System Administrator shall be able to reset a revoked user logon account
Security,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.
Security,All updates to data files or database must be initiated from the Disputes System.
Security,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.
Security,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.
Security,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.
Security,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.
Security,One insurance company shall not be able to view another insurance companys claim data.
Security,The product shall free of computer viruses.
Security,The system shall prevent malicious attacks including denial of service.
Security,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.
Security,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.
Security,The product shall ensure that the database's data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.
Security,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.
Security,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.
Security,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.
Security,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.
Security,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.
Security,Only registered customers can purchase streaming movies.
Security,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.
Security,Only authorized personnel can access customer records in the database.
Security,Only administrators can activate a pre-paid card.
Security,Only authorized personnel can access sales information.
Security,The website shall prevent its data from being corrupted when incorrect data is entered in.
Security,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.
Security,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.
Security,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.
Security,The system shall notify customers of changes to its information policy.
Security,The system shall reveal private information only in compliance with the organization's information policy.
Security,All customer information will be stored on a secure database  accessible only to authorized personnel.
Security,All credit card information will be encrypted in the database.
Security,The streaming server will have anti-virus software to prevent infection of malicious viruses.
Security,The product shall provide players no access to information that might reveal the identity of another player
Security,A session that has been inactive for more than ten minutes is terminated 
Security,- Disable accounts after 90 days of inactivity
Security,- Passwords can be changed by the associated user only once in a 2-day period
Security,Measures are in place to protect information from being accidentally overwritten.
Security,"(1) Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity creates, receives, maintains, or transmits."
Security,(2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information.
Security,(2) Use appropriate safeguards to prevent use or disclosure of the information other than as provided for by the data use agreement;
Security,(3) Protect against any reasonably anticipated uses or disclosures of such information that are not permitted or required under subpart E of this part.
Security,(7) A description of the process in place to ensure that no amounts higher than 100 percent of FFP will be claimed by the State for reimbursement of expenditures for State payments to Medicaid eligible providers for the certified EHR technology incentive payment program and a methodology for verifying such information.
Security,"(8) A description of the process in place for ensuring improvements in health outcomes, clinical quality, or efficiency resulting from the adoption of certified EHR technology by recipients of Medicaid incentive payments and a methodology for verifying such information."
Security,"(9) A description of the process in place for ensuring that any certified EHR technology used as the basis for a payment incentive to Medicaid providers is compatible with State or Federal administrative management systems, including the MMIS or other automated claims processing system or information retrieval system and a methodology for verifying such information."
Security,"(A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart;"
Security,(B) No protected health information is to be removed from the covered entity by the researcher in the course of the review; and
Security,"(B) The right to receive confidential communications of protected health information as provided by section 164.522(b), as applicable;"
Security,(B) Use appropriate safeguards to prevent use or disclosure of the information other than as provided for by its contract;
Security,"(i) Except with respect to disclosures under section 164.510, verify the identity of a person requesting protected health information and the authority of any such person to have access to protected health information under this subpart, if the identity or any such authority of such person is not known to the covered entity; and"
Security,"(i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health  information that it creates, receives, maintains, or transmits on behalf of the group health plan;"
Security,"(ii) Customer service, including the provision of data analyses for policy holders, plan sponsors, or other customers, provided that protected health information is not disclosed to such policy holder, plan sponsor, or customer."
Security,(ii) Ensure that the adequate separation required by section 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures;
Security,100% of all logons shall be by either company employees or external users with company-approved user IDs.
Security,"A covered entity must have in place appropriate administrative, technical, and physical safeguards to protect the privacy of protected health information."
Security,A patient has authenticated him or herself in the iTrust Medical Records system (UC2).
Security,A security risk assessment is a requirement for compliance with HIPAA and Meaningful Use.
Security,A software tester has a login and password.
Security,"After installation or upgrade consider removing(or ensuring no access to) to the following scripts, which are not needed for general OpenEMR use:"
Security,Consider a firewall that only allows port 443 (https) traffic to the server.
Security,"Consider adding a specific sqlconfDOTphp override settings when using the patient portal (especially the onsite portal), which can be used to use a separate mysql user (and possibly database)."
Security,Do not allow direct web access to the following directories
Security,"Enforce password expiration, which can be set in Administration->Globals->Security."
Security,"Enforce strong or unique passwords, which can be set in Administration->Globals->Security"
Security,Ensure the root password is set to something.
Security,"If not using portal and want to allow users to access over the internet, then consider using client-sided certificates to only allow users access to site"
Security,"If want to give access to the patient portals over the internet, then consider using a client-sided certificate to only allow users access to the main OpenEMR login page"
Security,"If you are using XAMPP, note that this software is extremely unsecure after installation and you need to secure it (See the XAMPP security instructions to secure your XAMPP installation.)"
Security,"On server, consider only opening port 443 (https)."
Security,Only allow https (ie turn off http)
Security,Only allowing the IP address of the third party portal to access the SOAP APIs (for patient access)
Security,Passwords should be held to a standard and be required to change at intervals.
Security,"The third party portal could also set up a ssh tunnel method, so the local OpenEMR instance is not open to the web (and possibly not even require an IP address)."
Security,The third party portal could set up a certificate to identify their server as an option to further secure.
Security,"Ability for an administrator to delegate authority, by user group, to reset password"
Security,"Ability for an administrator to delegate authority, by user group, to restore system access of locked out user"
Security,Administration interfaces require strong authentication and authorization.
Security,"After installation is finished, then secure files (this should be done as root user):"
Security,"After three failed attempts with a userid in a given session, disallow attempts to log in via IP address for 15 minutes (see comments in the source code)."
Security,All additions of new users and modifications to user's access shall be recorded on the User Report.
Security,All authorized users  once authenticated must be able to logon to the Disputes System
Security,All credit card information will be encrypted in the database.
Security,All customer information will be stored on a secure database  accessible only to authorized personnel.
Security,"All input parameters are validated (including form fields, query strings, cookies, and HTTP headers)."
Security,All system and user accounts are identified.
Security,All updates to data files or database must be initiated from the Disputes System.
Security,All user sessions involving financial transactions or sensitive data are encrypted using SSL/HTTPS.
Security,An authenticated session ends when the user logs out or closes the iTrust application.
Security,An example of reflexive testing is when a confirmatory test is automatically ordered after a screening test is positive.
Security,And remember that OpenEMR's username and passwords are case sensitive.
Security,Any changes in user passwords possibly and possibly permissions should take affect in all parts of the System.
Security,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.
Security,Attempts to access resources using parent paths are blocked.
Security,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity."
Security,Conduct or review a security risk analysis in accordance with the requirements under 45 CFR 164.308(a)(1) and implement security updates as necessary and correct identified security deficiencies as part of its risk management process.
Security,Conduct or review a security risk analysis in accordance with the requirements under 45 CFR 164.308(a)(1) and implement security updates as necessary and correct identified security deficiencies as part of its risk management process.
